Method,AddedFactor,Metric,Deterioration
DAS,Bandwidth,SI_NRMSE,0.253476530508738
DAS,Finite aperture,SI_NRMSE,0.00102500063069599
DAS,Heterogeneity,SI_NRMSE,0.019181971388637
DAS,Attenuation,SI_NRMSE,-0.00970853256452497
DAS,Noise,SI_NRMSE,0.00202267454460703
CF-DAS,Bandwidth,SI_NRMSE,0.382523458473351
CF-DAS,Finite aperture,SI_NRMSE,0.00154807752888997
CF-DAS,Heterogeneity,SI_NRMSE,0.0125198838874261
CF-DAS,Attenuation,SI_NRMSE,-0.00269760108274408
CF-DAS,Noise,SI_NRMSE,0.000285755239121999
SCF-DAS,Bandwidth,SI_NRMSE,0.201034116658931
SCF-DAS,Finite aperture,SI_NRMSE,0.00202493851998498
SCF-DAS,Heterogeneity,SI_NRMSE,0.0148464030287501
SCF-DAS,Attenuation,SI_NRMSE,-0.00159336481850603
SCF-DAS,Noise,SI_NRMSE,-0.000435878989335059
DMAS,Bandwidth,SI_NRMSE,0.307530218786448
DMAS,Finite aperture,SI_NRMSE,0.000553059816591039
DMAS,Heterogeneity,SI_NRMSE,0.029719546875413
DMAS,Attenuation,SI_NRMSE,0.00848128511087798
DMAS,Noise,SI_NRMSE,0.00272018800114904
DS-DMAS,Bandwidth,SI_NRMSE,0.244835691014777
DS-DMAS,Finite aperture,SI_NRMSE,0.000654137368528929
DS-DMAS,Heterogeneity,SI_NRMSE,0.01651408943195
DS-DMAS,Attenuation,SI_NRMSE,0.00110002380421703
DS-DMAS,Noise,SI_NRMSE,0.00213091559353396
TR,Bandwidth,SI_NRMSE,0.509763424746753
TR,Finite aperture,SI_NRMSE,0.000679143528336978
TR,Heterogeneity,SI_NRMSE,0.000780956182785952
TR,Attenuation,SI_NRMSE,-0.00436903727431304
TR,Noise,SI_NRMSE,8.72082333203128e-06
DAS,Bandwidth,Correlation,0.177216319195886
DAS,Finite aperture,Correlation,0.00102200684742493
DAS,Heterogeneity,Correlation,0.021273737851636
DAS,Attenuation,Correlation,-0.00946245399612899
DAS,Noise,Correlation,0.00100009519289401
CF-DAS,Bandwidth,Correlation,0.326944894124655
CF-DAS,Finite aperture,Correlation,0.00232169962599704
CF-DAS,Heterogeneity,Correlation,0.021056750827904
CF-DAS,Attenuation,Correlation,-0.00323429594178704
CF-DAS,Noise,Correlation,0.000384768769968957
SCF-DAS,Bandwidth,Correlation,0.30957005547034
SCF-DAS,Finite aperture,Correlation,0.00537249173037702
SCF-DAS,Heterogeneity,Correlation,0.044585691672093
