Metric,Acquisition,Method,MeanRank
SI_NRMSE,A1_reference,DAS,1.25
SI_NRMSE,A1_reference,CF-DAS,3
SI_NRMSE,A1_reference,SCF-DAS,6
SI_NRMSE,A1_reference,DMAS,4
SI_NRMSE,A1_reference,DS-DMAS,5
SI_NRMSE,A1_reference,TR,1.75
SI_NRMSE,A2_N96,DAS,1.75
SI_NRMSE,A2_N96,CF-DAS,3
SI_NRMSE,A2_N96,SCF-DAS,6
SI_NRMSE,A2_N96,DMAS,4
SI_NRMSE,A2_N96,DS-DMAS,5
SI_NRMSE,A2_N96,TR,1.25
SI_NRMSE,A3_fc3MHz,DAS,1.41666666666667
SI_NRMSE,A3_fc3MHz,CF-DAS,3
SI_NRMSE,A3_fc3MHz,SCF-DAS,6
SI_NRMSE,A3_fc3MHz,DMAS,4
SI_NRMSE,A3_fc3MHz,DS-DMAS,5
SI_NRMSE,A3_fc3MHz,TR,1.58333333333333
Correlation,A1_reference,DAS,1.33333333333333
Correlation,A1_reference,CF-DAS,3
Correlation,A1_reference,SCF-DAS,6
Correlation,A1_reference,DMAS,4
Correlation,A1_reference,DS-DMAS,5
Correlation,A1_reference,TR,1.66666666666667
Correlation,A2_N96,DAS,1.75
Correlation,A2_N96,CF-DAS,3
Correlation,A2_N96,SCF-DAS,6
Correlation,A2_N96,DMAS,4
Correlation,A2_N96,DS-DMAS,5
Correlation,A2_N96,TR,1.25
Correlation,A3_fc3MHz,DAS,1.66666666666667
Correlation,A3_fc3MHz,CF-DAS,3
Correlation,A3_fc3MHz,SCF-DAS,6
Correlation,A3_fc3MHz,DMAS,4
Correlation,A3_fc3MHz,DS-DMAS,5
Correlation,A3_fc3MHz,TR,1.33333333333333
SSIM,A1_reference,DAS,4
SSIM,A1_reference,CF-DAS,1.5
SSIM,A1_reference,SCF-DAS,1.5
SSIM,A1_reference,DMAS,5.91666666666667
SSIM,A1_reference,DS-DMAS,3
SSIM,A1_reference,TR,5.08333333333333
SSIM,A2_N96,DAS,4
SSIM,A2_N96,CF-DAS,1.41666666666667
SSIM,A2_N96,SCF-DAS,1.58333333333333
SSIM,A2_N96,DMAS,6
SSIM,A2_N96,DS-DMAS,3
SSIM,A2_N96,TR,5
SSIM,A3_fc3MHz,DAS,4
SSIM,A3_fc3MHz,CF-DAS,1.5
SSIM,A3_fc3MHz,SCF-DAS,1.58333333333333
SSIM,A3_fc3MHz,DMAS,5.91666666666667
SSIM,A3_fc3MHz,DS-DMAS,2.91666666666667
SSIM,A3_fc3MHz,TR,5.08333333333333
CNR,A1_reference,DAS,1.83333333333333
CNR,A1_reference,CF-DAS,3.5
CNR,A1_reference,SCF-DAS,6
CNR,A1_reference,DMAS,3.5
CNR,A1_reference,DS-DMAS,5
CNR,A1_reference,TR,1.16666666666667
CNR,A2_N96,DAS,2
CNR,A2_N96,CF-DAS,3.5
CNR,A2_N96,SCF-DAS,5.75
CNR,A2_N96,DMAS,3.5
CNR,A2_N96,DS-DMAS,5.25
CNR,A2_N96,TR,1
CNR,A3_fc3MHz,DAS,2
CNR,A3_fc3MHz,CF-DAS,3.25
CNR,A3_fc3MHz,SCF-DAS,6
CNR,A3_fc3MHz,DMAS,3.75
CNR,A3_fc3MHz,DS-DMAS,5
CNR,A3_fc3MHz,TR,1
SBR_dB,A1_reference,DAS,2.91666666666667
SBR_dB,A1_reference,CF-DAS,1.41666666666667
SBR_dB,A1_reference,SCF-DAS,4.25
SBR_dB,A1_reference,DMAS,4.25
SBR_dB,A1_reference,DS-DMAS,3.58333333333333
SBR_dB,A1_reference,TR,4.58333333333333
SBR_dB,A2_N96,DAS,2.91666666666667
SBR_dB,A2_N96,CF-DAS,1.41666666666667
SBR_dB,A2_N96,SCF-DAS,4.5
SBR_dB,A2_N96,DMAS,4.33333333333333
SBR_dB,A2_N96,DS-DMAS,3.41666666666667
SBR_dB,A2_N96,TR,4.41666666666667
SBR_dB,A3_fc3MHz,DAS,3.58333333333333
SBR_dB,A3_fc3MHz,CF-DAS,1.33333333333333
SBR_dB,A3_fc3MHz,SCF-DAS,2.41666666666667
SBR_dB,A3_fc3MHz,DMAS,4.83333333333333
SBR_dB,A3_fc3MHz,DS-DMAS,3.58333333333333
SBR_dB,A3_fc3MHz,TR,5.25
CenterlineRecall,A1_reference,DAS,1.91666666666667
CenterlineRecall,A1_reference,CF-DAS,4.33333333333333
CenterlineRecall,A1_reference,SCF-DAS,6
CenterlineRecall,A1_reference,DMAS,3
CenterlineRecall,A1_reference,DS-DMAS,4.66666666666667
CenterlineRecall,A1_reference,TR,1.08333333333333
CenterlineRecall,A2_N96,DAS,1.91666666666667
CenterlineRecall,A2_N96,CF-DAS,4.25
