Metric,Family,Method,MeanRank
SI_NRMSE,sparse,DAS,1.77777777777778
SI_NRMSE,sparse,CF-DAS,3
SI_NRMSE,sparse,SCF-DAS,6
SI_NRMSE,sparse,DMAS,4
SI_NRMSE,sparse,DS-DMAS,5
SI_NRMSE,sparse,TR,1.22222222222222
SI_NRMSE,dense,DAS,1.44444444444444
SI_NRMSE,dense,CF-DAS,3
SI_NRMSE,dense,SCF-DAS,6
SI_NRMSE,dense,DMAS,4
SI_NRMSE,dense,DS-DMAS,5
SI_NRMSE,dense,TR,1.55555555555556
SI_NRMSE,cluttered,DAS,1.44444444444444
SI_NRMSE,cluttered,CF-DAS,3
SI_NRMSE,cluttered,SCF-DAS,6
SI_NRMSE,cluttered,DMAS,4
SI_NRMSE,cluttered,DS-DMAS,5
SI_NRMSE,cluttered,TR,1.55555555555556
SI_NRMSE,fluence,DAS,1.22222222222222
SI_NRMSE,fluence,CF-DAS,3
SI_NRMSE,fluence,SCF-DAS,6
SI_NRMSE,fluence,DMAS,4
SI_NRMSE,fluence,DS-DMAS,5
SI_NRMSE,fluence,TR,1.77777777777778
Correlation,sparse,DAS,1.88888888888889
Correlation,sparse,CF-DAS,3
Correlation,sparse,SCF-DAS,6
Correlation,sparse,DMAS,4
Correlation,sparse,DS-DMAS,5
Correlation,sparse,TR,1.11111111111111
Correlation,dense,DAS,1.55555555555556
Correlation,dense,CF-DAS,3
Correlation,dense,SCF-DAS,6
Correlation,dense,DMAS,4
Correlation,dense,DS-DMAS,5
Correlation,dense,TR,1.44444444444444
Correlation,cluttered,DAS,1.55555555555556
Correlation,cluttered,CF-DAS,3
Correlation,cluttered,SCF-DAS,6
Correlation,cluttered,DMAS,4
Correlation,cluttered,DS-DMAS,5
Correlation,cluttered,TR,1.44444444444444
Correlation,fluence,DAS,1.33333333333333
Correlation,fluence,CF-DAS,3
Correlation,fluence,SCF-DAS,6
Correlation,fluence,DMAS,4
Correlation,fluence,DS-DMAS,5
Correlation,fluence,TR,1.66666666666667
SSIM,sparse,DAS,4
SSIM,sparse,CF-DAS,2
SSIM,sparse,SCF-DAS,1.11111111111111
SSIM,sparse,DMAS,5.77777777777778
SSIM,sparse,DS-DMAS,2.88888888888889
SSIM,sparse,TR,5.22222222222222
SSIM,dense,DAS,4
SSIM,dense,CF-DAS,1.22222222222222
SSIM,dense,SCF-DAS,1.77777777777778
SSIM,dense,DMAS,6
SSIM,dense,DS-DMAS,3
SSIM,dense,TR,5
SSIM,cluttered,DAS,4
SSIM,cluttered,CF-DAS,1.33333333333333
SSIM,cluttered,SCF-DAS,1.66666666666667
SSIM,cluttered,DMAS,6
SSIM,cluttered,DS-DMAS,3
SSIM,cluttered,TR,5
SSIM,fluence,DAS,4
SSIM,fluence,CF-DAS,1.33333333333333
SSIM,fluence,SCF-DAS,1.66666666666667
SSIM,fluence,DMAS,6
SSIM,fluence,DS-DMAS,3
SSIM,fluence,TR,5
CNR,sparse,DAS,2
CNR,sparse,CF-DAS,3
CNR,sparse,SCF-DAS,6
CNR,sparse,DMAS,4
CNR,sparse,DS-DMAS,5
CNR,sparse,TR,1
CNR,dense,DAS,1.88888888888889
CNR,dense,CF-DAS,3.55555555555556
CNR,dense,SCF-DAS,5.88888888888889
CNR,dense,DMAS,3.44444444444444
CNR,dense,DS-DMAS,5.11111111111111
CNR,dense,TR,1.11111111111111
CNR,cluttered,DAS,1.88888888888889
CNR,cluttered,CF-DAS,3.55555555555556
CNR,cluttered,SCF-DAS,5.88888888888889
CNR,cluttered,DMAS,3.44444444444444
CNR,cluttered,DS-DMAS,5.11111111111111
CNR,cluttered,TR,1.11111111111111
CNR,fluence,DAS,2
CNR,fluence,CF-DAS,3.55555555555556
CNR,fluence,SCF-DAS,5.88888888888889
CNR,fluence,DMAS,3.44444444444444
CNR,fluence,DS-DMAS,5.11111111111111
CNR,fluence,TR,1
SBR_dB,sparse,DAS,4.55555555555556
SBR_dB,sparse,CF-DAS,2.33333333333333
SBR_dB,sparse,SCF-DAS,1.55555555555556
SBR_dB,sparse,DMAS,4.11111111111111
SBR_dB,sparse,DS-DMAS,2.77777777777778
SBR_dB,sparse,TR,5.66666666666667
SBR_dB,dense,DAS,2.66666666666667
SBR_dB,dense,CF-DAS,1
SBR_dB,dense,SCF-DAS,4.44444444444444
SBR_dB,dense,DMAS,4.55555555555556
SBR_dB,dense,DS-DMAS,4
SBR_dB,dense,TR,4.33333333333333
SBR_dB,cluttered,DAS,2.44444444444444
SBR_dB,cluttered,CF-DAS,1.11111111111111
SBR_dB,cluttered,SCF-DAS,4.66666666666667
SBR_dB,cluttered,DMAS,4.33333333333333
SBR_dB,cluttered,DS-DMAS,4.22222222222222
SBR_dB,cluttered,TR,4.22222222222222
SBR_dB,fluence,DAS,2.88888888888889
SBR_dB,fluence,CF-DAS,1.11111111111111
SBR_dB,fluence,SCF-DAS,4.22222222222222
SBR_dB,fluence,DMAS,4.88888888888889
SBR_dB,fluence,DS-DMAS,3.11111111111111
SBR_dB,fluence,TR,4.77777777777778
CenterlineRecall,sparse,DAS,1.66666666666667
CenterlineRecall,sparse,CF-DAS,4.22222222222222
CenterlineRecall,sparse,SCF-DAS,6
CenterlineRecall,sparse,DMAS,3
CenterlineRecall,sparse,DS-DMAS,4.77777777777778
CenterlineRecall,sparse,TR,1.33333333333333
CenterlineRecall,dense,DAS,2
CenterlineRecall,dense,CF-DAS,4.33333333333333
CenterlineRecall,dense,SCF-DAS,6
CenterlineRecall,dense,DMAS,3.11111111111111
CenterlineRecall,dense,DS-DMAS,4.55555555555556
CenterlineRecall,dense,TR,1
CenterlineRecall,cluttered,DAS,2
CenterlineRecall,cluttered,CF-DAS,4.22222222222222
CenterlineRecall,cluttered,SCF-DAS,6
CenterlineRecall,cluttered,DMAS,3.11111111111111
CenterlineRecall,cluttered,DS-DMAS,4.66666666666667
CenterlineRecall,cluttered,TR,1
CenterlineRecall,fluence,DAS,2
CenterlineRecall,fluence,CF-DAS,4.11111111111111
CenterlineRecall,fluence,SCF-DAS,6
