Metric,Method,MeanRank,MedianRank,BestOrTiedCount,MeanValue,SDValue
SI_NRMSE,DAS,1.47222222222222,1,19,0.715588531645668,0.0145432849773209
SI_NRMSE,CF-DAS,3,3,0,0.794090128899019,0.034456733975748
SI_NRMSE,SCF-DAS,6,6,0,0.955276391603269,0.0134100551092949
SI_NRMSE,DMAS,4,4,0,0.846376485061947,0.0392128553945296
SI_NRMSE,DS-DMAS,5,5,0,0.910358513919619,0.0244620935309302
SI_NRMSE,TR,1.52777777777778,2,17,0.718728644163525,0.0261585498835447
Correlation,DAS,1.58333333333333,2,15,0.707562664372977,0.0146226956291175
Correlation,CF-DAS,3,3,0,0.608553559047942,0.0450728650411335
Correlation,SCF-DAS,6,6,0,0.296513259127053,0.0453336559027027
Correlation,DMAS,4,4,0,0.526869033719232,0.0610085953141389
Correlation,DS-DMAS,5,5,0,0.3929356855535,0.056357222297585
Correlation,TR,1.41666666666667,1,21,0.706467048616074,0.0249029618774273
SSIM,DAS,4,4,0,0.790584680836562,0.0464985564796325
SSIM,CF-DAS,1.47222222222222,1,20,0.891178451717257,0.0294712009447256
SSIM,SCF-DAS,1.55555555555556,2,16,0.890378659085257,0.032026981717106
SSIM,DMAS,5.94444444444444,6,0,0.593493614239004,0.11490560244618
SSIM,DS-DMAS,2.97222222222222,3,0,0.869923454611666,0.0399013063985298
SSIM,TR,5.05555555555556,5,0,0.728921749103217,0.053323412941668
CNR,DAS,1.94444444444444,2,2,1.59047034258184,0.2019983797684
CNR,CF-DAS,3.41666666666667,3,0,0.781073648066205,0.0551735598295268
CNR,SCF-DAS,5.91666666666667,6,0,0.384331126839707,0.0916340627306301
CNR,DMAS,3.58333333333333,4,0,0.766489884441453,0.0860831325377319
CNR,DS-DMAS,5.08333333333333,5,0,0.494362502338343,0.0703295604132236
CNR,TR,1.05555555555556,1,34,1.84986408174285,0.227429842926465
SBR_dB,DAS,3.13888888888889,3,0,18.2518600755874,1.85280156928938
SBR_dB,CF-DAS,1.38888888888889,1,26,21.5623399465762,3.48225776571445
SBR_dB,SCF-DAS,3.72222222222222,5,10,20.5155283046418,7.95947840145636
SBR_dB,DMAS,4.47222222222222,4,0,17.668061862758,3.05816005540313
SBR_dB,DS-DMAS,3.52777777777778,3,0,18.8539069594682,4.44148452076003
SBR_dB,TR,4.75,5,0,17.0216600610136,1.76892305526148
CenterlineRecall,DAS,1.91666666666667,2,6,0.961210618085618,0.0537813509316294
CenterlineRecall,CF-DAS,4.22222222222222,4,0,0.682928391053391,0.111424809826043
CenterlineRecall,SCF-DAS,6,6,0,0.381788920955588,0.0982456689943293
CenterlineRecall,DMAS,3.05555555555556,3,0,0.793679252845919,0.081125434784956
CenterlineRecall,DS-DMAS,4.72222222222222,5,0,0.606156806156806,0.0708511367725969
CenterlineRecall,TR,1.08333333333333,1,36,0.983896905563572,0.0313870225008077
BranchPointRecovery,DAS,1.84722222222222,1.5,27,0.977513227513227,0.0433249017903371
BranchPointRecovery,CF-DAS,4.09722222222222,4,5,0.784289784289784,0.148778456595922
BranchPointRecovery,SCF-DAS,5.90277777777778,6,1,0.461436711436711,0.192634565311536
BranchPointRecovery,DMAS,3.23611111111111,3,7,0.853174603174603,0.109706370025558
BranchPointRecovery,DS-DMAS,4.31944444444444,4.5,3,0.735449735449735,0.159380919893958
BranchPointRecovery,TR,1.59722222222222,1.5,36,0.994708994708995,0.0189718826878475
TerminalBranchRecovery,DAS,1.84722222222222,2,21,0.95024154589372,0.0787958099656127
TerminalBranchRecovery,CF-DAS,4.80555555555556,5,1,0.595450885668277,0.168439667235536
TerminalBranchRecovery,SCF-DAS,5.65277777777778,6,1,0.442106146001073,0.195683276657681
TerminalBranchRecovery,DMAS,3.05555555555556,3,5,0.797970343531938,0.128693615375427
TerminalBranchRecovery,DS-DMAS,4.20833333333333,4,3,0.658168947933441,0.15557986672023
TerminalBranchRecovery,TR,1.43055555555556,1.5,36,0.986714975845411,0.032568413122093
