Replicate,MorphologySeed,Family,Acquisition,AcquisitionLabel,Channels,CenterFrequency_MHz,FractionalBandwidth_percent,CFL,dt_ns,Nt,AchievedSNR_dB,MeasuredRF_RMS,ForwardRuntime_s,NoiseSeed
1,101,sparse,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,19.999999564903,0.0115319854278966,53.891746,701010
1,101,dense,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,19.9999997046024,0.0139963991519261,42.5354227,701010
1,101,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,20.0000002033179,0.0128674478269265,43.5193293,701010
1,101,fluence,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,20.0000003158356,0.0133537028987175,41.9143691,701010
1,101,sparse,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000003012458,0.0115365834887909,41.0574999,701020
1,101,dense,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,19.9999997779775,0.014006032549956,41.3294399,701020
1,101,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,19.9999999378011,0.0128757384863779,41.0946008,701020
1,101,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000003079985,0.0133628083458469,40.1478365,701020
1,101,sparse,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,19.9999999425606,0.00934524129605146,39.3527871,701030
1,101,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,20.0000003214169,0.0115316442461021,39.952987,701030
1,101,cluttered,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,19.9999999417819,0.010571842478464,29.5038787,701030
1,101,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,20.0000001699886,0.0111422261470097,26.7431065,701030
2,202,sparse,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,20.0000002349986,0.0111249094879499,27.4549564,702010
2,202,dense,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,19.9999998192774,0.014246880292121,26.7073081,702010
2,202,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,20.0000001596691,0.0141845492503589,26.6741038,702010
2,202,fluence,A1_reference,"128 ch, 2 MHz",128,2,80,0.2,6.32911392405063,2529,20.0000000315162,0.0142020484000941,27.4590686,702010
2,202,sparse,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000001086709,0.011127218553665,26.9417582,702020
2,202,dense,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000002404458,0.0142467160910238,26.2764127,702020
2,202,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000000081619,0.0141839470968304,27.0237797,702020
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,0.2,6.32911392405063,2529,20.0000001571708,0.0142026530012378,27.5555946,702020
2,202,sparse,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,20.000000045164,0.00845577594732523,28.7627184,702030
2,202,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,19.9999997084886,0.0113708926520493,30.0075613,702030
2,202,cluttered,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,19.9999999650369,0.0113509221612565,27.7570874,702030
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.2,6.32911392405063,2529,19.9999997739104,0.0115573838479805,26.4493217,702030
3,303,sparse,A1_reference,"128 ch, 2 MHz",128,2,80,0.19180039804193,6.32911392405063,2529,19.9999997521191,0.0111908542285725,27.0680432,703010
3,303,dense,A1_reference,"128 ch, 2 MHz",128,2,80,0.19180039804193,6.32911392405063,2529,19.9999997962322,0.0147512208351229,27.6586838,703010
3,303,cluttered,A1_reference,"128 ch, 2 MHz",128,2,80,0.19180039804193,6.32911392405063,2529,20.0000000547988,0.0148185548097101,26.7899324,703010
3,303,fluence,A1_reference,"128 ch, 2 MHz",128,2,80,0.19180039804193,6.32911392405063,2529,20.0000002857968,0.0136865061984457,26.5686714,703010
3,303,sparse,A2_N96,"96 ch, 2 MHz",96,2,80,0.19180039804193,6.32911392405063,2529,20.0000002320431,0.0111900396275131,27.2146251,703020
3,303,dense,A2_N96,"96 ch, 2 MHz",96,2,80,0.19180039804193,6.32911392405063,2529,19.9999997813849,0.0147573288364302,27.2053328,703020
3,303,cluttered,A2_N96,"96 ch, 2 MHz",96,2,80,0.19180039804193,6.32911392405063,2529,20.0000003095306,0.0148248253544554,26.4236011,703020
3,303,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,0.19180039804193,6.32911392405063,2529,20.0000002637634,0.0136931473069408,27.0846928,703020
3,303,sparse,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.19180039804193,6.32911392405063,2529,19.999999751303,0.00873102674990605,27.9592943,703030
3,303,dense,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.19180039804193,6.32911392405063,2529,20.0000001642267,0.0112682969095678,26.7563315,703030
3,303,cluttered,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.19180039804193,6.32911392405063,2529,20.0000001809945,0.0113400916487191,26.9668626,703030
3,303,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,0.19180039804193,6.32911392405063,2529,20.0000001298236,0.0106947289438619,28.8839281,703030
