Replicate,Seed,Family,Segments,BranchPoints,TerminalPoints,P0_RMS,VesselSupportFraction,ClutterSupportFraction,FluenceMinOnVessels,FluenceMeanOnVessels,FluenceMaxOnVessels
1,101,sparse,15,7,8,0.0946455098036589,0.0316297743055556,0,1,1,1
1,101,dense,44,21,23,0.123088906889611,0.0591362847222222,0,1,1,1
1,101,cluttered,44,21,23,0.113432750189538,0.0591362847222222,0.0132378472222222,1,1,1
1,101,fluence,44,21,23,0.116527446792375,0.0591362847222222,0,0.390481114387512,0.502401676664659,0.688155174255371
2,202,sparse,7,3,4,0.0908570115336734,0.0279676649305556,0,1,1,1
2,202,dense,28,13,15,0.12644764086471,0.0602484809027778,0,1,1,1
2,202,cluttered,28,13,15,0.127532753826675,0.0602484809027778,0.0124782986111111,1,1,1
2,202,fluence,28,13,15,0.12492360785462,0.0602484809027778,0,0.425927698612213,0.539812968408992,0.710619866847992
3,303,sparse,7,3,4,0.0883419738841366,0.0249837239583333,0,1,1,1
3,303,dense,16,7,9,0.121325937008618,0.0528428819444444,0,1,1,1
3,303,cluttered,16,7,9,0.122448324101453,0.0528428819444444,0.0128851996527778,1,1,1
3,303,fluence,16,7,9,0.113170091406185,0.0528428819444444,0,0.446875810623169,0.540564256634188,0.716413736343384
