Realization,BaseSeed,SourceId,OriginalSeedSubset,SNRIndex,SNR_dB
1,1,three_line_fixed,1,1,5
1,1,three_line_fixed,1,2,10
1,1,three_line_fixed,1,3,15
1,1,three_line_fixed,1,4,20
1,1,three_line_fixed,1,5,30
2,2,three_line_fixed,1,1,5
2,2,three_line_fixed,1,2,10
2,2,three_line_fixed,1,3,15
2,2,three_line_fixed,1,4,20
2,2,three_line_fixed,1,5,30
3,3,three_line_fixed,1,1,5
3,3,three_line_fixed,1,2,10
3,3,three_line_fixed,1,3,15
3,3,three_line_fixed,1,4,20
3,3,three_line_fixed,1,5,30
4,4,three_line_fixed,1,1,5
4,4,three_line_fixed,1,2,10
4,4,three_line_fixed,1,3,15
4,4,three_line_fixed,1,4,20
4,4,three_line_fixed,1,5,30
5,5,three_line_fixed,1,1,5
5,5,three_line_fixed,1,2,10
5,5,three_line_fixed,1,3,15
5,5,three_line_fixed,1,4,20
5,5,three_line_fixed,1,5,30
6,6,three_line_fixed,1,1,5
6,6,three_line_fixed,1,2,10
6,6,three_line_fixed,1,3,15
6,6,three_line_fixed,1,4,20
6,6,three_line_fixed,1,5,30
7,7,three_line_fixed,1,1,5
7,7,three_line_fixed,1,2,10
7,7,three_line_fixed,1,3,15
7,7,three_line_fixed,1,4,20
7,7,three_line_fixed,1,5,30
8,8,three_line_fixed,1,1,5
8,8,three_line_fixed,1,2,10
8,8,three_line_fixed,1,3,15
8,8,three_line_fixed,1,4,20
8,8,three_line_fixed,1,5,30
9,9,three_line_fixed,1,1,5
9,9,three_line_fixed,1,2,10
9,9,three_line_fixed,1,3,15
9,9,three_line_fixed,1,4,20
9,9,three_line_fixed,1,5,30
10,10,three_line_fixed,1,1,5
10,10,three_line_fixed,1,2,10
10,10,three_line_fixed,1,3,15
10,10,three_line_fixed,1,4,20
10,10,three_line_fixed,1,5,30
11,11,three_line_fixed,0,1,5
11,11,three_line_fixed,0,2,10
11,11,three_line_fixed,0,3,15
11,11,three_line_fixed,0,4,20
11,11,three_line_fixed,0,5,30
12,12,three_line_fixed,0,1,5
12,12,three_line_fixed,0,2,10
12,12,three_line_fixed,0,3,15
12,12,three_line_fixed,0,4,20
12,12,three_line_fixed,0,5,30
13,13,three_line_fixed,0,1,5
13,13,three_line_fixed,0,2,10
13,13,three_line_fixed,0,3,15
13,13,three_line_fixed,0,4,20
13,13,three_line_fixed,0,5,30
14,14,three_line_fixed,0,1,5
14,14,three_line_fixed,0,2,10
14,14,three_line_fixed,0,3,15
14,14,three_line_fixed,0,4,20
14,14,three_line_fixed,0,5,30
15,15,three_line_fixed,0,1,5
15,15,three_line_fixed,0,2,10
15,15,three_line_fixed,0,3,15
15,15,three_line_fixed,0,4,20
15,15,three_line_fixed,0,5,30
16,16,three_line_fixed,0,1,5
16,16,three_line_fixed,0,2,10
16,16,three_line_fixed,0,3,15
16,16,three_line_fixed,0,4,20
16,16,three_line_fixed,0,5,30
17,17,three_line_fixed,0,1,5
17,17,three_line_fixed,0,2,10
17,17,three_line_fixed,0,3,15
17,17,three_line_fixed,0,4,20
17,17,three_line_fixed,0,5,30
18,18,three_line_fixed,0,1,5
18,18,three_line_fixed,0,2,10
18,18,three_line_fixed,0,3,15
18,18,three_line_fixed,0,4,20
18,18,three_line_fixed,0,5,30
19,19,three_line_fixed,0,1,5
19,19,three_line_fixed,0,2,10
19,19,three_line_fixed,0,3,15
19,19,three_line_fixed,0,4,20
19,19,three_line_fixed,0,5,30
20,20,three_line_fixed,0,1,5
20,20,three_line_fixed,0,2,10
20,20,three_line_fixed,0,3,15
20,20,three_line_fixed,0,4,20
20,20,three_line_fixed,0,5,30
21,21,three_line_fixed,0,1,5
21,21,three_line_fixed,0,2,10
21,21,three_line_fixed,0,3,15
21,21,three_line_fixed,0,4,20
21,21,three_line_fixed,0,5,30
22,22,three_line_fixed,0,1,5
22,22,three_line_fixed,0,2,10
22,22,three_line_fixed,0,3,15
22,22,three_line_fixed,0,4,20
22,22,three_line_fixed,0,5,30
23,23,three_line_fixed,0,1,5
23,23,three_line_fixed,0,2,10
23,23,three_line_fixed,0,3,15
23,23,three_line_fixed,0,4,20
23,23,three_line_fixed,0,5,30
24,24,three_line_fixed,0,1,5
24,24,three_line_fixed,0,2,10
24,24,three_line_fixed,0,3,15
24,24,three_line_fixed,0,4,20
24,24,three_line_fixed,0,5,30
25,25,three_line_fixed,0,1,5
25,25,three_line_fixed,0,2,10
25,25,three_line_fixed,0,3,15
25,25,three_line_fixed,0,4,20
25,25,three_line_fixed,0,5,30
26,26,three_line_fixed,0,1,5
26,26,three_line_fixed,0,2,10
26,26,three_line_fixed,0,3,15
26,26,three_line_fixed,0,4,20
26,26,three_line_fixed,0,5,30
27,27,three_line_fixed,0,1,5
27,27,three_line_fixed,0,2,10
27,27,three_line_fixed,0,3,15
27,27,three_line_fixed,0,4,20
27,27,three_line_fixed,0,5,30
28,28,three_line_fixed,0,1,5
28,28,three_line_fixed,0,2,10
28,28,three_line_fixed,0,3,15
28,28,three_line_fixed,0,4,20
28,28,three_line_fixed,0,5,30
29,29,three_line_fixed,0,1,5
29,29,three_line_fixed,0,2,10
29,29,three_line_fixed,0,3,15
29,29,three_line_fixed,0,4,20
29,29,three_line_fixed,0,5,30
30,30,three_line_fixed,0,1,5
30,30,three_line_fixed,0,2,10
30,30,three_line_fixed,0,3,15
30,30,three_line_fixed,0,4,20
30,30,three_line_fixed,0,5,30
31,31,three_line_fixed,0,1,5
31,31,three_line_fixed,0,2,10
31,31,three_line_fixed,0,3,15
31,31,three_line_fixed,0,4,20
31,31,three_line_fixed,0,5,30
32,32,three_line_fixed,0,1,5
32,32,three_line_fixed,0,2,10
32,32,three_line_fixed,0,3,15
32,32,three_line_fixed,0,4,20
32,32,three_line_fixed,0,5,30
