BaseSeed,SoundSpeedSeed,DensitySeed,CMean_mps,CStd_mps,CMin_mps,CMax_mps,RhoMean_kgm3,RhoStd_kgm3,RhoMin_kgm3,RhoMax_kgm3,Corr_C_Rho,dt_ns,Nt,TEnd_us,PPW_6MHz,ForwardRuntime_s
1,100001,200001,1500.00000002649,19.9999998973256,1446.99853515625,1558.70043945312,999.999999910593,14.999999950457,959.957275390625,1041.21374511719,0.090634572482917,6.41560093709124,2494,15.9940931361685,4.82332845052083,50.0527743
2,100002,200002,1500.00000001987,19.9999999458186,1462.43640136719,1560.54321289062,1000.00000001159,14.9999998774004,964.091613769531,1046.42907714844,-0.0268478484439123,6.40802505012136,2497,15.9944305251029,4.87478800455729,28.9290807
3,100003,200003,1499.99999995364,19.9999999701275,1450.02282714844,1558.3974609375,999.999999951985,14.9999999924627,969.521118164062,1045.6806640625,-0.266719202909016,6.41684823715267,2494,15.9972026552216,4.83340942382813,29.2362817
4,100004,200004,1500.00000001325,19.9999999446927,1451.06787109375,1559.84619140625,999.999999968542,15.0000001348169,959.510375976562,1033.51538085938,-0.148964221832343,6.41088849342555,2496,15.9951667910968,4.83689290364583,29.2049815
5,100005,200005,1500.00000043379,20.0000000827606,1440.41333007812,1558.4189453125,1000.00000006954,14.9999999745125,956.7861328125,1034.69299316406,0.151987835958262,6.41675977443585,2494,15.9969821176686,4.80137776692708,28.5828491
6,100006,200006,1500.00000002318,19.9999999402083,1441.58837890625,1547.033203125,1000.00000012087,14.9999999134334,969.10498046875,1043.142578125,0.121245339572927,6.46398537523309,2476,15.9983638037019,4.80529459635417,29.6435272
7,100007,200007,1499.99999986755,19.9999999955175,1445.50964355469,1550.95764160156,1000.00000013577,14.9999998585492,941.477783203125,1047.57836914062,-0.0490334695012264,6.44762934316744,2482,15.9965684003984,4.81836547851563,37.0814204
8,100008,200008,1500.00000004636,20.0000000856966,1460.58850097656,1551.52038574219,999.999999991722,15.0000000406125,951.421691894531,1032.67626953125,0.272766542051201,6.44529075601955,2483,15.9972116564405,4.86862833658854,64.5929619
9,100009,200009,1500.00000014239,20.0000000658988,1451.82849121094,1547.62744140625,999.999999958608,14.9999998853403,964.978210449219,1035.92858886719,0.00154746416984405,6.46150341642528,2477,15.998682459069,4.83942830403646,34.4896115
10,100010,200010,1499.99999981787,20.0000001151349,1449.40600585938,1553.5126953125,1000.0000001159,14.9999998589964,966.672607421875,1032.66357421875,-0.0396091770074192,6.43702496295882,2486,15.9960070329527,4.83135335286458,35.1660024
11,100011,200011,1500.00000018875,19.9999999113814,1448.5361328125,1545.09912109375,999.99999998841,14.9999998753783,955.36669921875,1031.6787109375,-0.389161914089575,6.47207668652427,2473,15.998973569088,4.82845377604167,37.789452
12,100012,200012,1499.99999968542,20.0000001586766,1421.03796386719,1543.47937011719,999.999999900659,14.999999811688,971.332885742188,1035.45593261719,0.0941792268228103,6.4788685832845,2470,15.9963265321294,4.73679321289062,38.434172
13,100013,200013,1499.99999996357,20.0000002432807,1449.34167480469,1553.79345703125,999.999999793039,14.9999998849401,964.221008300781,1037.66320800781,-0.102847672987316,6.43586182883436,2487,15.9995525064822,4.83113891601563,40.3828675
14,100014,200014,1500.00000019206,20.0000000553765,1435.35607910156,1549.470703125,1000.00000003643,14.9999998823198,948.065490722656,1031.55383300781,0.0300749550613773,6.45381676454535,2480,15.9990117593079,4.78452026367188,40.0828468
15,100015,200015,1499.99999986755,19.9999998930661,1456.42126464844,1562.70446777344,1000.0000000298,14.9999999506374,966.347290039062,1042.72375488281,0.0233287784496108,6.39916260958039,2501,15.997906523951,4.85473754882813,40.13437
16,100016,200016,1499.9999998841,20.0000001198479,1455.15783691406,1549.62109375,999.999999950329,14.9999999038261,954.292053222656,1037.16186523438,0.20499863962235,6.45319042205378,2480,15.9974590562713,4.85052612304688,38.954675
17,100017,200017,1499.99999988079,20.0000000434853,1445.50024414062,1548.23681640625,1000.00000016722,15.0000001611191,953.351501464844,1036.45544433594,-0.18462198185101,6.45896021463428,2478,15.9988444516491,4.81833414713542,38.5933952
18,100018,200018,1500.00000008278,20.0000000254079,1459.0966796875,1568.34020996094,999.999999882446,14.9999998563206,963.661376953125,1041.85241699219,-0.118313527736873,6.37616757925825,2510,15.9978044563589,4.86365559895833,39.0721878
19,100019,200019,1500.00000015895,20.0000002405086,1442.89672851562,1558.52294921875,1000.00000001325,14.9999999753562,968.070556640625,1034.68994140625,0.0111683807489408,6.41633156894659,2494,15.9959146013838,4.80965576171875,39.1097884
20,100020,200020,1499.99999977814,20.0000002398317,1448.02612304688,1549.57202148438,1000.0000000596,14.999999995258,954.230224609375,1042.18371582031,-0.243204028019836,6.45339478343236,2480,15.9979656681288,4.82675374348958,38.6445781
21,100021,200021,1500.00000013908,19.9999999011484,1454.3974609375,1560.69934082031,999.999999953641,14.9999999179383,954.3798828125,1039.08251953125,-0.270787763184611,6.40738400949407,2498,15.9992378717067,4.84799153645833,39.1440281
22,100022,200022,1500.00000004967,20.0000002924253,1439.01318359375,1555.81188964844,1000.00000003311,14.9999997829899,952.5439453125,1036.14074707031,-0.300221559989899,6.42751226323362,2490,15.9980780231885,4.79671061197917,39.3818744
23,100023,200023,1499.99999982781,20.0000000465514,1451.40063476562,1543.41784667969,1000.00000004967,15.0000002935235,965.642211914062,1035.07312011719,0.118081622344931,6.47912684274886,2470,15.9969641747469,4.83800211588542,1647.8809174
24,100024,200024,1500.00000034107,19.9999997892629,1456.66162109375,1548.96472167969,999.999999993377,15.0000000662057,962.330322265625,1048.26782226562,0.234257728238504,6.45592495428564,2479,15.9977820367198,4.85553873697917,36.2042742
25,100025,200025,1500.00000005629,20.0000000940567,1448.55163574219,1552.77770996094,1000.00000019703,15.0000000350151,955.971862792969,1039.66357421875,-0.12463692263726,6.44007183761774,2485,15.9971384446425,4.82850545247396,37.3818561
26,100026,200026,1500.00000021524,19.9999999395877,1429.16870117188,1544.40002441406,999.999999892381,14.9999999297781,951.851196289062,1032.14184570312,-0.0968446716753499,6.47500637264879,2472,15.9997407468152,4.76389567057292,38.2063622
