FamilyID,SNR_dB,Metric,MetricLabel,P_Friedman_Raw,Kendall_W,Winner_N50,P_Friedman_Holm25,Significant_Holm25
1,5,SI_NRMSE,SI-NRMSE,5.89452895003269e-46,0.887497142857143,DAS,5.89452895003269e-46,1
2,5,Correlation,Correlation,1.62074538567904e-46,0.897965714285714,DAS,3.24149077135809e-46,1
3,5,SSIM,SSIM,2.04847925019664e-51,0.989348571428571,SCF-DAS,3.72023634736027e-50,1
4,5,CNR,CNR,9.45189404156947e-52,0.995611428571429,TR,2.36297351039237e-50,1
5,5,SBR_dB,SBR,1.6529558622896e-51,0.991085714285714,SCF-DAS,3.3059117245792e-50,1
6,10,SI_NRMSE,SI-NRMSE,2.65192566730467e-47,0.91264,DAS,7.955777001914e-47,1
7,10,Correlation,Correlation,7.88709550606704e-48,0.922468571428571,DAS,4.10984933012663e-47,1
8,10,SSIM,SSIM,3.96538735667799e-51,0.984,SCF-DAS,5.55154229934919e-50,1
9,10,CNR,CNR,1.95801913018962e-51,0.989714285714286,TR,3.72023634736027e-50,1
10,10,SBR_dB,SBR,1.27489232988663e-51,0.993188571428571,SCF-DAS,2.67727389276192e-50,1
11,15,SI_NRMSE,SI-NRMSE,9.60848414240726e-48,0.920868571428571,DAS,4.10984933012663e-47,1
12,15,Correlation,Correlation,3.25310679869326e-48,0.929645714285714,DAS,3.00607106565658e-47,1
13,15,SSIM,SSIM,4.7242731334291e-49,0.94528,SCF-DAS,5.19670044677201e-48,1
14,15,CNR,CNR,2.44026766765121e-51,0.987931428571429,TR,4.14845503500705e-50,1
15,15,SBR_dB,SBR,9.55922894262065e-52,0.99552,SCF-DAS,2.36297351039237e-50,1
16,20,SI_NRMSE,SI-NRMSE,6.84974888354439e-48,0.923611428571429,DAS,4.10984933012663e-47,1
17,20,Correlation,Correlation,3.25310679869326e-48,0.929645714285714,DAS,3.00607106565658e-47,1
18,20,SSIM,SSIM,1.86204003223563e-50,0.971474285714286,SCF-DAS,2.23444803868276e-49,1
19,20,CNR,CNR,2.44026766765121e-51,0.987931428571429,TR,4.14845503500705e-50,1
20,20,SBR_dB,SBR,9.55922894262065e-52,0.99552,SCF-DAS,2.36297351039237e-50,1
21,30,SI_NRMSE,SI-NRMSE,5.05111919456584e-48,0.92608,DAS,3.53578343619609e-47,1
22,30,Correlation,Correlation,3.00607106565658e-48,0.930285714285714,DAS,3.00607106565658e-47,1
23,30,SSIM,SSIM,1.62613986725312e-50,0.972571428571429,SCF-DAS,2.11398182742906e-49,1
24,30,CNR,CNR,2.44026766765121e-51,0.987931428571429,TR,4.14845503500705e-50,1
25,30,SBR_dB,SBR,9.55922894262065e-52,0.99552,SCF-DAS,2.36297351039237e-50,1
