SNR_dB,MetricLabel,Winner_N50,Kendall_W,P_Friedman_Raw,P_Friedman_Holm25,Significant_Holm25
5,CNR,TR,0.995611428571429,9.45189404156947e-52,2.36297351039237e-50,1
5,Correlation,DAS,0.897965714285714,1.62074538567904e-46,3.24149077135809e-46,1
5,SBR,SCF-DAS,0.991085714285714,1.6529558622896e-51,3.3059117245792e-50,1
5,SI-NRMSE,DAS,0.887497142857143,5.89452895003269e-46,5.89452895003269e-46,1
5,SSIM,SCF-DAS,0.989348571428571,2.04847925019664e-51,3.72023634736027e-50,1
10,CNR,TR,0.989714285714286,1.95801913018962e-51,3.72023634736027e-50,1
10,Correlation,DAS,0.922468571428571,7.88709550606704e-48,4.10984933012663e-47,1
10,SBR,SCF-DAS,0.993188571428571,1.27489232988663e-51,2.67727389276192e-50,1
10,SI-NRMSE,DAS,0.91264,2.65192566730467e-47,7.955777001914e-47,1
10,SSIM,SCF-DAS,0.984,3.96538735667799e-51,5.55154229934919e-50,1
15,CNR,TR,0.987931428571429,2.44026766765121e-51,4.14845503500705e-50,1
15,Correlation,DAS,0.929645714285714,3.25310679869326e-48,3.00607106565658e-47,1
15,SBR,SCF-DAS,0.99552,9.55922894262065e-52,2.36297351039237e-50,1
15,SI-NRMSE,DAS,0.920868571428571,9.60848414240726e-48,4.10984933012663e-47,1
15,SSIM,SCF-DAS,0.94528,4.7242731334291e-49,5.19670044677201e-48,1
20,CNR,TR,0.987931428571429,2.44026766765121e-51,4.14845503500705e-50,1
20,Correlation,DAS,0.929645714285714,3.25310679869326e-48,3.00607106565658e-47,1
20,SBR,SCF-DAS,0.99552,9.55922894262065e-52,2.36297351039237e-50,1
20,SI-NRMSE,DAS,0.923611428571429,6.84974888354439e-48,4.10984933012663e-47,1
20,SSIM,SCF-DAS,0.971474285714286,1.86204003223563e-50,2.23444803868276e-49,1
30,CNR,TR,0.987931428571429,2.44026766765121e-51,4.14845503500705e-50,1
30,Correlation,DAS,0.930285714285714,3.00607106565658e-48,3.00607106565658e-47,1
30,SBR,SCF-DAS,0.99552,9.55922894262065e-52,2.36297351039237e-50,1
30,SI-NRMSE,DAS,0.92608,5.05111919456584e-48,3.53578343619609e-47,1
30,SSIM,SCF-DAS,0.972571428571429,1.62613986725312e-50,2.11398182742906e-49,1
