SNR_dB,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,RankBiserial,P_Wilcoxon_Raw,P_Wilcoxon_Holm15,PrimaryPairwiseSignificant,Seeds_A_Better,Seeds_B_Better,Seeds_Tied
5,CNR,DAS,SCF-DAS,1.81088880286666,1.78389585307774,1.85061984530066,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
5,CNR,DAS,TR,-0.15375697940881,-0.18178479080755,-0.12329616506454,-0.976470588235294,1.8648014196095e-09,1.13353941837954e-08,1,2,48,0
5,CNR,SCF-DAS,TR,-1.97302586181592,-1.98210080007447,-1.96738161170476,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
10,CNR,DAS,SCF-DAS,1.82403244342019,1.80292386793054,1.87097765474372,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
10,CNR,DAS,TR,-0.138517580596865,-0.17159084868068,-0.108822208673525,-0.951372549019608,4.77832968196266e-09,1.13353941837954e-08,1,5,45,0
10,CNR,SCF-DAS,TR,-1.97832302112978,-1.98646983863992,-1.96972428353687,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
15,CNR,DAS,SCF-DAS,1.83117187173729,1.80527938770445,1.86865445511774,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
15,CNR,DAS,TR,-0.13237528422217,-0.16755234577822,-0.10362787359234,-0.941960784313726,6.75946987393381e-09,1.13353941837954e-08,1,6,44,0
15,CNR,SCF-DAS,TR,-1.97514691469428,-1.9855345772917,-1.96559757626327,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
20,CNR,DAS,SCF-DAS,1.83017000500539,1.8068796455892,1.87245450150451,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
20,CNR,DAS,TR,-0.130452044486325,-0.16825604542587,-0.1017077267649,-0.937254901960784,8.02968346961793e-09,1.13353941837954e-08,1,6,44,0
20,CNR,SCF-DAS,TR,-1.97135436007633,-1.98453887963959,-1.96542331275769,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
30,CNR,DAS,SCF-DAS,1.82754570032365,1.80411399968667,1.87131491198106,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
30,CNR,DAS,TR,-0.1294287997041,-0.170831963945125,-0.101394963208869,-0.935686274509804,8.50252968209873e-09,1.13353941837954e-08,1,6,44,0
30,CNR,SCF-DAS,TR,-1.96983349767829,-1.98252866785648,-1.96396842733457,-1,7.55692945586362e-10,1.13353941837954e-08,1,0,50,0
5,Correlation,DAS,SCF-DAS,0.404962520338121,0.398657720557839,0.409304856002881,1,7.55692945586362e-10,1.13353941837954e-08,1,50,0,0
