FamilyID,SNR_dB,Metric,MetricLabel,N,Method,MeanRank,MedianRank,FinalMeanRank_N50,MeanRankShiftFromN50
1,5,SI_NRMSE,SI-NRMSE,10,DAS,2,2,1.86,0.14
1,5,SI_NRMSE,SI-NRMSE,10,CF-DAS,2,2,2.04,-0.04
1,5,SI_NRMSE,SI-NRMSE,10,SCF-DAS,6,6,6,0
1,5,SI_NRMSE,SI-NRMSE,10,DMAS,4,4,4,0
1,5,SI_NRMSE,SI-NRMSE,10,DS-DMAS,5,5,5,0
1,5,SI_NRMSE,SI-NRMSE,10,TR,2,2,2.1,-0.1
1,5,SI_NRMSE,SI-NRMSE,20,DAS,2,2,1.86,0.14
1,5,SI_NRMSE,SI-NRMSE,20,CF-DAS,2.05,2.5,2.04,0.00999999999999979
1,5,SI_NRMSE,SI-NRMSE,20,SCF-DAS,6,6,6,0
1,5,SI_NRMSE,SI-NRMSE,20,DMAS,4,4,4,0
1,5,SI_NRMSE,SI-NRMSE,20,DS-DMAS,5,5,5,0
1,5,SI_NRMSE,SI-NRMSE,20,TR,1.95,2,2.1,-0.15
1,5,SI_NRMSE,SI-NRMSE,30,DAS,1.9,2,1.86,0.0399999999999998
1,5,SI_NRMSE,SI-NRMSE,30,CF-DAS,2.2,3,2.04,0.16
1,5,SI_NRMSE,SI-NRMSE,30,SCF-DAS,6,6,6,0
1,5,SI_NRMSE,SI-NRMSE,30,DMAS,4,4,4,0
1,5,SI_NRMSE,SI-NRMSE,30,DS-DMAS,5,5,5,0
1,5,SI_NRMSE,SI-NRMSE,30,TR,1.9,2,2.1,-0.2
1,5,SI_NRMSE,SI-NRMSE,40,DAS,1.825,2,1.86,-0.0350000000000001
1,5,SI_NRMSE,SI-NRMSE,40,CF-DAS,2.1,2.5,2.04,0.0600000000000001
1,5,SI_NRMSE,SI-NRMSE,40,SCF-DAS,6,6,6,0
1,5,SI_NRMSE,SI-NRMSE,40,DMAS,4,4,4,0
1,5,SI_NRMSE,SI-NRMSE,40,DS-DMAS,5,5,5,0
1,5,SI_NRMSE,SI-NRMSE,40,TR,2.075,2,2.1,-0.0249999999999999
1,5,SI_NRMSE,SI-NRMSE,50,DAS,1.86,2,1.86,0
1,5,SI_NRMSE,SI-NRMSE,50,CF-DAS,2.04,2,2.04,0
1,5,SI_NRMSE,SI-NRMSE,50,SCF-DAS,6,6,6,0
1,5,SI_NRMSE,SI-NRMSE,50,DMAS,4,4,4,0
1,5,SI_NRMSE,SI-NRMSE,50,DS-DMAS,5,5,5,0
1,5,SI_NRMSE,SI-NRMSE,50,TR,2.1,2,2.1,0
2,5,Correlation,Correlation,10,DAS,2.1,2,1.72,0.38
2,5,Correlation,Correlation,10,CF-DAS,2,2,2.36,-0.36
2,5,Correlation,Correlation,10,SCF-DAS,6,6,6,0
2,5,Correlation,Correlation,10,DMAS,4,4,4,0
2,5,Correlation,Correlation,10,DS-DMAS,5,5,5,0
2,5,Correlation,Correlation,10,TR,1.9,2,1.92,-0.02
2,5,Correlation,Correlation,20,DAS,2,2,1.72,0.28
2,5,Correlation,Correlation,20,CF-DAS,2.1,3,2.36,-0.26
2,5,Correlation,Correlation,20,SCF-DAS,6,6,6,0
2,5,Correlation,Correlation,20,DMAS,4,4,4,0
2,5,Correlation,Correlation,20,DS-DMAS,5,5,5,0
2,5,Correlation,Correlation,20,TR,1.9,2,1.92,-0.02
2,5,Correlation,Correlation,30,DAS,1.9,2,1.72,0.18
2,5,Correlation,Correlation,30,CF-DAS,2.33333333333333,3,2.36,-0.0266666666666664
2,5,Correlation,Correlation,30,SCF-DAS,6,6,6,0
2,5,Correlation,Correlation,30,DMAS,4,4,4,0
2,5,Correlation,Correlation,30,DS-DMAS,5,5,5,0
2,5,Correlation,Correlation,30,TR,1.76666666666667,2,1.92,-0.153333333333333
2,5,Correlation,Correlation,40,DAS,1.775,2,1.72,0.0549999999999999
2,5,Correlation,Correlation,40,CF-DAS,2.325,3,2.36,-0.0349999999999997
2,5,Correlation,Correlation,40,SCF-DAS,6,6,6,0
2,5,Correlation,Correlation,40,DMAS,4,4,4,0
