FamilyID,SNR_dB,Metric,MetricLabel,N,P_Friedman,Kendall_W,SpearmanToN50,CheckpointWinner,FinalWinner_N50,WinnerMatchesFinal,MaxAbsMeanRankShift
1,5,SI_NRMSE,SI-NRMSE,10,2.02660203151367e-08,0.885714285714286,0.94112394811432,DAS + CF-DAS + TR,DAS,1,0.14
1,5,SI_NRMSE,SI-NRMSE,20,1.32234369156743e-17,0.886,0.828571428571429,TR,DAS,0,0.15
1,5,SI_NRMSE,SI-NRMSE,30,4.58043753596715e-27,0.889142857142857,0.898645105261295,DAS + TR,DAS,1,0.2
1,5,SI_NRMSE,SI-NRMSE,40,1.68150024046696e-36,0.888357142857143,0.942857142857143,DAS,DAS,1,0.0600000000000001
1,5,SI_NRMSE,SI-NRMSE,50,5.89452895003269e-46,0.887497142857143,1,DAS,DAS,1,0
2,5,Correlation,Correlation,10,1.97316352533543e-08,0.886857142857143,0.828571428571429,TR,DAS,0,0.38
2,5,Correlation,Correlation,20,1.26866687130833e-17,0.886857142857143,0.942857142857143,TR,DAS,0,0.28
2,5,Correlation,Correlation,30,2.82212569292062e-27,0.895746031746032,0.942857142857143,TR,DAS,0,0.18
2,5,Correlation,Correlation,40,8.56738456050666e-37,0.895214285714286,1,DAS,DAS,1,0.0549999999999999
2,5,Correlation,Correlation,50,1.62074538567904e-46,0.897965714285714,1,DAS,DAS,1,0
3,5,SSIM,SSIM,10,1.76565273908493e-09,0.989714285714286,1,SCF-DAS,SCF-DAS,1,0.0800000000000001
3,5,SSIM,SSIM,20,8.95049603249871e-20,0.989142857142857,1,SCF-DAS,SCF-DAS,1,0.0300000000000002
3,5,SSIM,SSIM,30,3.72786212557866e-30,0.986031746031746,1,SCF-DAS,SCF-DAS,1,0.02
3,5,SSIM,SSIM,40,8.16172391709231e-41,0.989285714285714,1,SCF-DAS,SCF-DAS,1,0.00500000000000078
3,5,SSIM,SSIM,50,2.04847925019664e-51,0.989348571428571,1,SCF-DAS,SCF-DAS,1,0
4,5,CNR,CNR,10,1.38579733670096e-09,1,1,TR,TR,1,0.04
4,5,CNR,CNR,20,5.28514836094325e-20,1,1,TR,TR,1,0.04
4,5,CNR,CNR,30,1.33513788730032e-30,1,1,TR,TR,1,0.04
4,5,CNR,CNR,40,3.73763132197441e-41,0.997214285714286,1,TR,TR,1,0.0150000000000001
4,5,CNR,CNR,50,9.45189404156947e-52,0.995611428571429,1,TR,TR,1,0
5,5,SBR_dB,SBR,10,1.38579733670096e-09,1,1,SCF-DAS,SCF-DAS,1,0.04
5,5,SBR_dB,SBR,20,6.87798878795111e-20,0.994571428571429,1,SCF-DAS,SCF-DAS,1,0.02
5,5,SBR_dB,SBR,30,1.75026020185408e-30,0.99631746031746,1,SCF-DAS,SCF-DAS,1,0.02
5,5,SBR_dB,SBR,40,3.73763132197441e-41,0.997214285714286,1,SCF-DAS,SCF-DAS,1,0.02
5,5,SBR_dB,SBR,50,1.6529558622896e-51,0.991085714285714,1,SCF-DAS,SCF-DAS,1,0
6,10,SI_NRMSE,SI-NRMSE,10,1.43160096310005e-08,0.900571428571429,1,DAS,DAS,1,0.16
6,10,SI_NRMSE,SI-NRMSE,20,8.04165104802121e-18,0.896285714285714,1,DAS,DAS,1,0.21
6,10,SI_NRMSE,SI-NRMSE,30,1.70655284276063e-27,0.902603174603175,0.942857142857143,DAS,DAS,1,0.166666666666667
6,10,SI_NRMSE,SI-NRMSE,40,2.13172147060611e-37,0.909357142857143,1,DAS,DAS,1,0.0350000000000001
6,10,SI_NRMSE,SI-NRMSE,50,2.65192566730467e-47,0.91264,1,DAS,DAS,1,0
7,10,Correlation,Correlation,10,1.21926857116767e-08,0.907428571428571,0.942857142857143,DAS,DAS,1,0.24
7,10,Correlation,Correlation,20,3.70837971135668e-18,0.912285714285714,1,DAS,DAS,1,0.0899999999999999
7,10,Correlation,Correlation,30,5.27529352020506e-28,0.918603174603175,1,DAS,DAS,1,0.133333333333333
7,10,Correlation,Correlation,40,6.5467323037185e-38,0.921357142857143,1,DAS,DAS,1,0.0250000000000004
7,10,Correlation,Correlation,50,7.88709550606704e-48,0.922468571428571,1,DAS,DAS,1,0
8,10,SSIM,SSIM,10,2.71504124767185e-09,0.971428571428571,1,SCF-DAS,SCF-DAS,1,0.0800000000000001
8,10,SSIM,SSIM,20,1.66987875129874e-19,0.976285714285714,1,SCF-DAS,SCF-DAS,1,0.0600000000000001
8,10,SSIM,SSIM,30,6.71121524608899e-30,0.978031746031746,1,SCF-DAS,SCF-DAS,1,0.0600000000000001
8,10,SSIM,SSIM,40,1.57011966367335e-40,0.982642857142857,1,SCF-DAS,SCF-DAS,1,0.00999999999999979
8,10,SSIM,SSIM,50,3.96538735667799e-51,0.984,1,SCF-DAS,SCF-DAS,1,0
9,10,CNR,CNR,10,1.76565273908492e-09,0.989714285714286,1,TR,TR,1,0
9,10,CNR,CNR,20,6.87798878795111e-20,0.994571428571429,1,TR,TR,1,0.05
9,10,CNR,CNR,30,2.25197001916951e-30,0.992888888888889,1,TR,TR,1,0.0333333333333334
9,10,CNR,CNR,40,7.82435586029651e-41,0.989714285714286,1,TR,TR,1,0
9,10,CNR,CNR,50,1.95801913018962e-51,0.989714285714286,1,TR,TR,1,0
10,10,SBR_dB,SBR,10,1.38579733670096e-09,1,1,SCF-DAS,SCF-DAS,1,0.02
10,10,SBR_dB,SBR,20,5.28514836094325e-20,1,1,SCF-DAS,SCF-DAS,1,0.02
10,10,SBR_dB,SBR,30,1.33513788730032e-30,1,1,SCF-DAS,SCF-DAS,1,0.02
10,10,SBR_dB,SBR,40,2.84062289864151e-41,1,1,SCF-DAS,SCF-DAS,1,0.02
10,10,SBR_dB,SBR,50,1.27489232988663e-51,0.993188571428571,1,SCF-DAS,SCF-DAS,1,0
11,15,SI_NRMSE,SI-NRMSE,10,1.43160096310005e-08,0.900571428571429,1,DAS,DAS,1,0.24
11,15,SI_NRMSE,SI-NRMSE,20,5.77165175871932e-18,0.903142857142857,0.942857142857143,DAS,DAS,1,0.19
